1804	-695207	964258	452883	-400245	-194847	-714579	-359104	544990	-660212
71821	-732283	-28910	426360	-710524	-33280	554627	358670	-853025	-627668
236710	62449	415030	-335051	758569	-150271	-189585	-945993	576564	725242
-301238	130182	701366	115925	-492263	-265297	984486	-383547	-521175	-697983
-802872	-353226	4874	-711512	656331	-837987	500098	960607	5434	489077
989269	201884	-991966	952885	-492874	817730	619271	888809	-370748	454811
-782459	785029	732101	615146	-596124	778015	875770	835164	-392430	256059
182099	-563092	73500	-576871	-845658	848975	-901259	954394	708165	-539318
-873578	748002	187023	-803519	-603086	-180240	-362249	-234627	-122181	565697
-517819	783128	-270936	-487762	60552	-756819	13965	194291	746591	-703241
-219592	747624	-389462	41795	-895424	376780	-338726	-394102	-425975	-346765
919987	-475002	-84146	696317	960484	703398	-149854	-256737	419269	-486077
-403792	-531653	-366821	-355767	-536726	-319711	67997	-556369	-411109	-270798
-935444	-757161	437689	-503072	-15376	133953	-354067	371087	870804	-404750
613820	769711	980247	302173	-448592	158276	593937	-10238	592201	723244
-111106	957676	-665817	594690	360202	-795872	317572	778132	-657933	559087
-31686	-118635	-243743	359054	427193	-864003	758744	11877	-101335	-606560
518549	603341	132030	-98047	931998	990438	-526080	-219188	-687721	-457333
12449	-175444	890614	558514	828662	698670	187673	-547440	179567	373468
-411464	425837	-950689	-289397	496675	-176417	44715	472811	344339	680826
435104	-830524	814394	455645	-762834	661655	-729501	-854465	631455	739556
-77727	392175	766471	-735864	-946751	-259907	519296	825500	602957	-1529
894685	125087	-822847	960022	-355748	-628645	395	207787	-126378	186514
244314	-741748	60081	615985	-531047	555083	613062	-531388	-309408	-358066
378159	-530765	287476	847055	500305	-789792	917808	-948390	707161	-188147
119005	894799	894448	792437	-737001	-133592	353337	-967090	421154	-918292
424104	-482884	57249	-609845	-541124	-90653	418530	36009	638135	143863
-897013	-389204	-659094	3963	-368103	786029	-82548	-473544	376360	990395
115416	166929	-93367	834875	963728	10985	-508539	-890631	390301	-220737
-486	-908804	39244	613078	-826613	-664736	595843	-743447	-537907	-342286
50985	872637	741579	-259023	392125	-79918	-557501	650150	412612	587206
-514492	-830985	-981549	524163	-731821	370630	566048	194450	139472	-956862
83504	-624989	952949	146991	-213606	183916	-544760	208617	370460	98426
-749124	-886765	-894200	-585054	-111618	-716402	-685118	-905951	2261	-32143
-632247	-967779	710822	-102636	-475774	974779	-768500	-163708	872568	-824676
1283	485406	701767	437062	308789	953361	538757	265859	643449	-575274
-359539	-404155	-148323	107180	147599	704327	932505	664957	918770	212999
-869925	338535	939153	-594164	102442	871152	818014	-5490	-713078	282374
-979350	804168	156828	492449	-755984	465948	439139	-746130	706690	508863
-166023	-32114	194941	-175434	-136017	560715	-154699	-252873	-428572	317405
-46773	425754	43625	572545	901249	594967	694276	-94943	646396	839107
-674492	-274240	117609	640370	-872088	176604	-146562	613129	-165702	-317732
-249717	413766	242387	-187812	-890851	-686660	667746	61169	-516372	157424
312851	-915628	-770783	-397496	527380	597421	-481084	859147	461831	-82315
132419	-220000	-646173	-366186	987716	-985868	-503580	-846858	-956484	992830
49830	-418357	-764472	520971	-691510	-42369	-924026	786742	236557	-59542
-501147	319495	315691	139015	696679	-183513	159253	-961438	321580	652677
-313646	383281	-111713	300050	-859241	-703854	383734	-739993	-372839	-630658
132149	418635	-988023	7585	373624	-858394	-792170	-665688	331901	-29163
134502	927945	-56145	669486	-205996	233704	387520	72477	-607861	738494
-382647	307162	529637	428925	796072	220615	-226579	320819	-108657	-96476
-265777	-479813	-136807	-561903	-171279	99948	30477	-564582	323405	458103
-667984	876859	-980329	-891462	527430	-31117	281218	-445052	49066	460138
-34073	300888	-761311	994452	-201639	830698	-139770	711798	987255	209238
-663497	-544397	527171	-140802	-341939	-313133	-409631	395647	-627830	-689006
344276	955139	327148	-722442	-280790	642821	-611022	-53319	-266702	-638959
274104	910668	-193226	-679412	125770	-801035	-163109	-469449	320698	-674158
543163	101642	-903249	563377	-636719	43584	-796338	430261	395574	-892534
378793	-533354	-215438	542236	-974551	-290687	621481	-252790	474120	298394
342023	-704409	666227	968694	-923515	-339374	286612	123910	-704050	252285
-843106	-590295	-708170	988142	-160474	187914	87795	585731	-385186	-503388
-340022	-706111	-151758	-175461	-718124	153979	-353958	896679	697735	-727262
288202	-323450	451876	615109	258550	-61305	295824	-827578	719903	-321029
-910370	-674259	-24271	-186027	578723	883269	-353331	427849	-996085	-570088
-900300	743611	-551817	633103	-846945	-696401	759811	-4581	-649352	98055
-78708	-414273	-572667	-981390	167420	-280528	-767490	41705	-186182	-207739
-590393	302903	873881	229850	-427911	46581	-635737	-358759	-137521	509944
826171	-492532	637330	123424	-322677	-641744	-475855	224124	-558445	265346
-879170	201859	-909583	422775	-372293	564169	-725599	-768362	-783811	-479019
812016	-971275	-859568	936272	972737	-243567	796022	541255	-97739	-347102
-99765	-130713	-327747	466115	566932	774643	-770613	488225	-265546	-642198
763904	14879	-128869	-258669	-519462	589926	515261	-715609	-697371	-872459
-944917	150690	-628779	710220	-776342	-819456	32786	-166900	-844094	-36426
-376150	-359511	966671	824615	-859323	-304185	947797	869976	121547	-671527
-357355	284256	469442	113309	-495282	-61571	341914	400027	-96780	949444
-790184	-617706	217334	-509530	334039	-114941	180474	-169221	608730	-281586
330641	-654281	945789	-944228	-135902	-130240	686801	3487	-784589	91691
-454058	-698485	-728411	962242	745657	-65519	-744397	-937201	761697	250691
470949	431953	-416342	-715895	-221559	448454	-478306	-709746	955252	-488873
-474327	-482681	-548398	-929957	-455845	-108251	263758	642308	-282215	-116497
-259247	341561	-223610	-406268	-372652	302013	-579714	69762	795565	216403
758961	234917	-92272	-153411	-229607	507695	-727809	-433688	-999001	-276937
684247	-612001	638611	814644	-3801	394260	-259392	-195404	383095	472216
-537171	-665962	-155189	187248	279775	-706579	-78544	-857216	-244	-162010
897331	552920	121125	-378013	100093	-617065	356225	585957	593734	421278
-704813	717985	27680	-730843	-650256	196788	-554885	-90916	651806	-686878
-124970	483295	-486663	-178362	744949	-10249	-969406	589441	692022	-920401
-984714	-557764	449563	634211	-525085	241696	-621422	122266	-138148	893236
-583563	-79474	-9700	487564	-111789	-715624	915539	-840643	-312505	-487808
-33908	835560	849852	171459	819586	865472	590992	-908285	-707258	-38669
-641101	850165	128380	778182	-305419	-944997	87438	-357	-516612	-363737
-459114	652364	-641959	945213	-364464	82374	-209206	-165247	867851	175915
557868	-448014	-614905	-275099	-698104	85841	-395147	592790	274070	282632
758444	964375	753007	-687050	-371933	-649402	942211	-383994	11456	497205
-88288	677246	-540330	999290	-558392	-330518	-354658	-175310	682599	-847232
-494001	125769	-396036	-289986	-742620	226783	81610	154059	-139792	-890334
-514693	-891443	-456524	-452858	-465956	-888079	384740	141804	-962618	24739
-900476	503323	-861217	50518	830718	-72667	545804	832967	216417	403358
257461	702308	443774	-514797	-653971	973565	-891633	452612	901716	-209961
35180	355808	50441	-473375	352224	466724	-159520	283220	920084	-407417
-89455	474562	-679077	-751883	-80104	659037	705350	-336990	163155	880549
-910984	-233758	-839624	-743353	-297402	-966289	-892090	114272	282461	890004
-268330	952011	68658	-511328	-156813	881359	-127633	11516	-611985	-12592
-748799	5775	67458	-188908	-214863	160852	486477	-884659	-129586	87909
382246	777975	569696	-673506	-506908	853419	-728273	-466825	980872	401222
978760	-517057	-781740	-893483	-426133	-24785	-569022	-155292	-218124	546881
-398229	-208635	331544	260205	-353378	-843579	66037	408430	273722	542670
920301	-389038	-528980	-933979	445285	674822	-439085	349524	-364379	36675
716132	-817353	680054	-727124	-31342	166895	-447154	-292116	-824795	-730116
577310	607641	248960	68996	-367394	-24766	964588	-455265	359673	253755
915468	-517215	406686	795699	385604	595461	-156373	372988	-266766	-439327
-230904	-929381	-111360	-322100	-612076	234841	603058	-676168	891863	660117
-352078	-427277	303476	530649	37433	-313467	-475746	521517	-82941	-513395
313753	529763	588510	656756	674179	-342064	344615	577834	130239	-397649
-564652	507224	310231	-677370	565765	-897787	-779261	-921548	365456	142774
-397850	372089	72943	536988	-998157	111641	-501888	691157	945919	-269860
90977	772573	65473	559718	605517	-713523	364677	-406501	-221508	-94753
552393	-120959	-167311	-206102	-528886	-145870	197013	-955465	-181361	487645
815848	-782161	34728	168678	-458512	-450312	-791437	339895	310168	-935405
89103	345143	549831	758530	-760813	630545	-716163	-999167	-350307	-325344
17007	-421331	833506	648735	-877621	-855804	748422	-811101	-686669	-8808
-206197	-415167	-187709	-607330	14788	-605014	-132450	630671	-348279	-687235
-582599	68563	-170527	-249580	24231	-911507	-549170	-794813	184007	293104
708853	-789601	484412	-759770	-929828	141784	324819	175844	601392	-896452
663059	269891	-565782	-57914	158304	-264622	851745	901988	-407677	808228
981810	215522	-191435	-899664	-988980	-553360	-841006	395185	-610854	808210
917534	417845	-65223	-791195	-42266	-839728	-412828	-863781	-1810	-84020
802395	-251160	-133160	504466	691194	878098	-963751	-737439	474786	-535171
-189466	-41089	-896536	98957	-84616	270539	536599	487811	-689307	752773
-791577	273130	-936807	-540466	-240557	43889	154561	-869114	-924373	-900065
-337532	230893	-839917	277400	-369855	-406203	-914047	-490484	-57683	3522
587865	-505974	221835	-55140	274297	126436	-121761	400494	-881896	564089
-714423	362587	581315	-605213	-595356	-304293	-389121	-857140	910665	-202107
-698295	671143	-797885	-504448	594241	853458	407353	-63835	-941814	-286993
-215768	-803866	962206	176405	453664	327250	-496358	282325	347575	159171
954224	213520	-679267	378219	381858	-473695	912172	316036	-872408	181035
310922	657231	530224	832994	-847875	-335672	-375524	-352295	861741	-358024
645001	-192497	505081	646155	766204	617983	-143509	-510012	-246513	-759978
-150659	335090	-291600	-585705	461485	-85322	-588999	-769805	890794	158939
-146203	-292756	-83578	815761	70279	-833478	405306	-467795	649417	189669
-268371	189699	962429	-160547	-714631	487908	-636479	559360	85762	801440
-346875	-174939	524691	79058	-169463	573746	-293689	-692186	965130	859473
-802664	-30672	691677	620447	999161	-184949	790244	-977141	205726	-614242
217678	-866594	-656230	4251	-401431	-336872	36152	918997	739644	351354
509374	-629636	-568972	904927	438537	-203273	-704379	856666	90325	-515979
-583092	-177132	-490322	-583769	-326953	-927763	170290	942544	288597	149301
674477	-879405	-72997	-178787	990368	-129456	-972324	522273	-382112	-458699
-244353	747013	46259	596029	28082	535485	-85074	-631428	-893195	304881
-304306	847	-728587	146946	-838688	-678350	-513123	-588926	-973246	-760419
-411834	-266403	-759891	393436	932205	-931914	-232860	-712059	310280	-72417
-399706	-783557	-542917	731846	441540	-442461	-647497	-932173	513389	652800
-423242	-572959	215827	521766	-994400	41781	-850917	-612935	-529007	-160340
36616	569782	-886214	538028	-351909	-187446	29427	277178	-903988	-210348
-25477	711670	278517	-360791	-370528	6715	-604596	-887228	-264742	-37288
-106782	510164	784042	-69105	17022	-94722	-647397	-194273	657238	727560
-579198	-610683	631774	-90487	401936	590507	-732550	526390	-918702	11681
725954	-247960	564140	929141	-176692	-289744	159154	-37550	-989059	787818
118283	692478	987536	488137	632534	440414	-307802	-243379	-551254	-982535
127043	-575876	426299	329827	-611555	-304321	253308	-988736	-891569	-199626
-645780	210464	155081	399398	208478	449544	909395	-705841	210832	-492077
-915809	768176	-809728	326964	-712915	96953	-335090	-793151	546537	302371
773699	675290	922156	625978	250177	-177696	-972107	-945595	571580	-746243
376802	-241246	-697081	-998235	516551	-905302	-498081	902914	365093	150331
864620	274137	-374312	-51268	873203	387320	888033	941359	168637	940707
-837099	911894	-9792	927599	-471791	716380	-93540	-205470	205581	-69345
595797	-585571	-396148	-135309	-5976	-366646	-673599	705122	63393	92909
342108	252331	-377361	677038	577277	349082	-429315	672057	301620	863274
371594	-857304	928081	-289344	859403	-247518	-172149	537948	-285244	-706078
-227864	710010	-622408	230543	111194	611840	-556048	943994	398539	95129
570905	-987521	-735528	-278101	-919203	644318	-927683	558793	66908	28893
688200	-539752	-176997	-913005	527519	472222	-369699	-167946	641652	-559934
111347	427402	343941	-546235	-325005	-59596	78791	122209	-253234	403870
641377	-667886	-838156	-60847	59394	-790257	609078	647851	-766089	-212781
981357	171145	-803149	829267	990302	-787661	378820	899925	-176721	692555
-405910	-713285	-792699	814410	-572438	803643	-432740	723413	316022	161560
-223084	-928067	367373	-62212	674773	523419	811213	-361897	-56939	844421
-150940	-357858	227127	-213841	359017	349771	-671388	867491	-229435	-681357
367484	-631865	-211077	-652228	-424482	-896288	-381284	-520120	705260	-666388
1002	-828140	-247708	127740	-499868	-553101	-954536	596666	467130	-515849
958393	646492	-932760	-265740	678641	-272509	-822727	635473	-629910	-604210
-554826	-729140	-845231	593254	783717	-579133	539814	739879	-670151	89318
-449076	742386	427629	-506848	-86040	216985	-780070	691873	-31234	503976
970780	-205291	-925503	-810363	-156901	-927538	666230	-93877	979627	-591872
-517646	-676585	468002	42671	-738908	572846	727013	-623386	-189024	-399295
61814	-346043	74279	-235577	253281	-112157	-16511	912989	-724519	230377
27128	-850466	-767161	-374245	878363	-744618	-640836	-853202	371907	-184758
278356	229471	-668237	-2546	-486018	-880335	889501	210162	778065	863410
-619762	442764	-703601	594409	727128	333980	976206	-895517	-215246	-759797
902930	786641	-226354	514899	99736	-274402	892788	-218097	583598	-328537
58978	458359	784560	-553112	-631422	-92173	884433	557995	697135	988867
250291	-300428	146101	-228172	886021	321837	15610	996313	-253397	836004
-35280	-88751	449322	320366	680985	744408	815954	406070	-523115	899795
-556444	-766635	-346546	-272651	803689	56180	788305	216385	317370	360863
-984057	-71414	538674	256686	792835	609455	40634	388296	893725	-3043
-403407	431680	-338860	489063	353046	-519455	675835	-271651	-500376	-874144
-900265	-77446	-958535	-693532	-508169	358829	303523	-306399	377909	879722
70053	244366	-768462	-662693	4031	-334059	-454487	989984	-245582	-745348
677423	-151987	295622	905557	-352535	400309	724	-48524	685673	669871
-308678	-629844	203128	204240	-167857	-327863	979994	184086	633253	819522
-288179	136326	-255016	291113	-817294	-49062	-446254	193884	-483482	344890
-999596	-185706	554387	-879490	-813344	672791	-587280	21589	720829	633178
212125	-950821	42837	304512	-800269	611485	-497898	673827	542352	217816
427741	351145	289825	854131	981423	986661	780940	340103	-326907	-405453
546489	-468127	-151201	782351	346018	728245	-262079	445889	456276	645163
-979001	971467	-48436	74790	595185	-869090	-535646	-282279	445042	-377588
-433195	277012	-693131	-921838	-810118	34148	-531822	-876751	-905564	775188
715596	-921850	741267	-771925	613676	-278869	-832438	451686	-995654	501497
719652	-804676	803599	616302	-916059	473119	-68024	-863584	141825	864275
-567191	7065	964176	-488046	914886	-622321	-85755	-576728	482868	-202054
-766846	-9432	-945072	-644466	-238442	-489557	291441	-874791	-646802	-326237
569511	234406	-677155	504312	-189867	804399	-727040	787546	-116925	-401927
-496067	603652	-46315	-526971	977616	446002	641744	186927	-746687	-456158
-575734	952065	232662	195570	226207	-558876	-600055	6282	775437	373049
-372404	-127283	540520	-305595	153174	638343	-376718	162496	688095	645431
-340113	582041	-235801	-25922	220148	821484	-184827	574272	438995	-612638
722368	-243646	489871	194649	-748262	114730	-254920	-6804	326975	-425595
-521104	-636804	-590574	446157	697222	-527401	-503034	-54127	584766	-949138
24451	-797272	415409	-285780	-533064	581656	317204	167891	526663	-532501
831001	103551	712085	367636	-223365	723587	-628179	458872	542251	-73350
-120290	119544	-488203	-382982	-826393	973940	897815	600793	471486	886411
-402496	528191	289867	18392	598741	-182049	165631	164443	-808515	268725
267097	654604	443124	723688	494869	-436297	639810	-288648	-981520	829045
-739965	912045	-671417	690344	-859830	70675	-581828	-718444	995381	131900
157026	-112281	-45910	-42005	528488	362327	452943	-180581	-948287	-68971
343495	-999514	827278	-721257	-99578	-951153	-729172	401139	-702572	-628252
-993141	-664393	-232480	-706410	-697562	411235	-587701	-428311	596191	-308581
-492477	215745	232491	-812495	-148606	663681	716635	-836041	-870266	-737004
171610	840482	652122	-86865	-175704	-803640	-813011	-288079	242006	-860494
324882	-707628	768399	-361304	-973210	-931301	-307621	-495888	-980344	-172409
136740	366156	-366850	585141	856456	-118299	898909	607469	705418	335464
386640	172608	-156741	582332	494376	-607640	148132	-152695	-458185	-463125
